0,1,2,3,4,5,6,7,8,9,10
1119.0,944.0,784.0,1047.0,910.0,948.0,887.0,1052.0,1131.0,1335.0,1072.0
944.0,784.0,1047.0,910.0,948.0,887.0,1052.0,1131.0,1335.0,1072.0,983.0
784.0,1047.0,910.0,948.0,887.0,1052.0,1131.0,1335.0,1072.0,983.0,1033.0
1047.0,910.0,948.0,887.0,1052.0,1131.0,1335.0,1072.0,983.0,1033.0,1145.0
910.0,948.0,887.0,1052.0,1131.0,1335.0,1072.0,983.0,1033.0,1145.0,1076.0
948.0,887.0,1052.0,1131.0,1335.0,1072.0,983.0,1033.0,1145.0,1076.0,1076.0
887.0,1052.0,1131.0,1335.0,1072.0,983.0,1033.0,1145.0,1076.0,1076.0,1094.0
1052.0,1131.0,1335.0,1072.0,983.0,1033.0,1145.0,1076.0,1076.0,1094.0,1101.0
1131.0,1335.0,1072.0,983.0,1033.0,1145.0,1076.0,1076.0,1094.0,1101.0,943.0
1335.0,1072.0,983.0,1033.0,1145.0,1076.0,1076.0,1094.0,1101.0,943.0,916.0
1072.0,983.0,1033.0,1145.0,1076.0,1076.0,1094.0,1101.0,943.0,916.0,914.0
983.0,1033.0,1145.0,1076.0,1076.0,1094.0,1101.0,943.0,916.0,914.0,1143.0
1033.0,1145.0,1076.0,1076.0,1094.0,1101.0,943.0,916.0,914.0,1143.0,1222.0
1145.0,1076.0,1076.0,1094.0,1101.0,943.0,916.0,914.0,1143.0,1222.0,1229.0
1076.0,1076.0,1094.0,1101.0,943.0,916.0,914.0,1143.0,1222.0,1229.0,1128.0
1076.0,1094.0,1101.0,943.0,916.0,914.0,1143.0,1222.0,1229.0,1128.0,1046.0
1094.0,1101.0,943.0,916.0,914.0,1143.0,1222.0,1229.0,1128.0,1046.0,1112.0
1101.0,943.0,916.0,914.0,1143.0,1222.0,1229.0,1128.0,1046.0,1112.0,1012.0
943.0,916.0,914.0,1143.0,1222.0,1229.0,1128.0,1046.0,1112.0,1012.0,900.0
916.0,914.0,1143.0,1222.0,1229.0,1128.0,1046.0,1112.0,1012.0,900.0,1055.0
914.0,1143.0,1222.0,1229.0,1128.0,1046.0,1112.0,1012.0,900.0,1055.0,1142.0
